School Year,Type,Category,Gender,basic_total,basic_ai,basic_asian,basic_black,basic_hisp,basic_nh_pi,basic_multi,basic_white,basic_504,basic_swd,basic_eco_dis,basic_el,adv_total,adv_ai,adv_asian,adv_black,adv_hisp,adv_nh_pi,adv_multi,adv_white,adv_504,adv_swd,adv_eco_dis,adv_el
2018-19,CS,Core CS,Girls,3207,3,337,329,237,2,75,2224,109,258,1149,45,1443,5,306,341,62,0,24,705,39,97,497,11
2018-19,CS,Core CS,Boys,10097,9,745,659,761,10,256,7657,456,1289,3225,159,4381,6,674,541,191,9,101,2859,207,391,1126,44
2018-19,CS,Core CS,Gender X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,CS,Core CS,Not Provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,CS,Web/Software Development,Girls,2261,2,83,352,218,4,82,1520,77,290,943,74,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,CS,Web/Software Development,Boys,4459,9,167,563,388,3,140,3189,180,807,1695,126,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,CS,Web/Software Development,Gender X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,CS,Web/Software Development,Not Provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,CS,Cyber Security,Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,CS,Cyber Security,Boys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,CS,Cyber Security,Gender X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,CS,Cyber Security,Not Provided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,CS,Information Systems,Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
